Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Labels,Fix Version
Story,Consulter un article par son slug,"Accès public par URL lisible.

Critères d'acceptation :
- La recherche se fait par slug, pas par identifiant
- Un BROUILLON n'est accessible qu'à un administrateur
- Inclut l'auteur et l'événement rattaché",,Articles et actualités,High,2,article,mvp,MVP
Story,Programmer une publication,"`publishedAt` doit permettre de programmer une parution.

Critères d'acceptation :
- Un article dont la date est future reste invisible jusqu'à l'échéance
- Une tâche planifiée effectue la publication
- La date de publication est modifiable avant l'échéance",,Articles et actualités,Medium,5,article,v1,V1
Story,Rattacher un article à un événement,"Annonce ou compte rendu lié à un événement.

Critères d'acceptation :
- Le rattachement à un événement est optionnel
- La fiche événement liste les articles associés
- Supprimer l'événement laisse l'article en place, sans rattachement",,Articles et actualités,Low,2,article,v1,V1
Epic,Annuaire des finissants,"Vitrine des profils, consultable par les sponsors accrédités. C'est la zone la plus sensible : données personnelles et CV.",Annuaire des finissants,,High,,annuaire,,
Story,Gérer son profil de finissant,"Création et mise à jour de la fiche par l'étudiant.

Critères d'acceptation :
- Réservé aux comptes dont `isFinissant` vaut vrai
- Les URL externes sont validées
- Les compétences sont normalisées",,Annuaire des finissants,High,5,annuaire,mvp,MVP
Story,Contrôler sa visibilité,"`isVisible` doit rester sous le contrôle exclusif de l'étudiant.

Critères d'acceptation :
- L'étudiant peut se retirer de l'annuaire à tout moment
- Un profil masqué n'apparaît dans aucune recherche de sponsor
- Un administrateur ne peut pas forcer la visibilité",,Annuaire des finissants,High,3,annuaire,mvp,MVP
Story,Réserver l'annuaire aux sponsors accrédités,"L'accès dépend de `accesAnnuaire` sur le palier. Une erreur ici expose des données personnelles à des tiers non autorisés.

Critères d'acceptation :
- Seuls les sponsors dont le palier autorise l'annuaire y accèdent
- Un sponsor sans palier est refusé
- Les administrateurs conservent l'accès
- Tous les cas de refus sont couverts par des tests",,Annuaire des finissants,Highest,5,annuaire,mvp,MVP
Story,Rechercher dans l'annuaire,"Recherche par filière, par promotion et par compétences.

Critères d'acceptation :
- Filtres sur la filière, la promotion et les compétences
- Seuls les profils visibles sont renvoyés
- Chaque consultation incrémente le compteur du sponsor
- Pagination appliquée",,Annuaire des finissants,High,5,annuaire,mvp,MVP
Story,Télécharger un CV en décomptant le quota,"Le téléchargement doit consommer le quota `maxTelechargementsCv` et être servi par une URL à durée limitée.

Critères d'acceptation :
- Le téléchargement est refusé lorsque le quota est épuisé
- Le compteur `cvTelecharges` est incrémenté de façon fiable
- Le CV est servi par une URL signée qui expire, jamais par une URL publique
- Chaque téléchargement est tracé",,Annuaire des finissants,Highest,5,annuaire,mvp,MVP
Story,Déposer son CV et sa photo,"Envoi des pièces du profil vers R2.

Critères d'acceptation :
- Les types et tailles de fichiers sont validés
- Le CV n'est jamais accessible publiquement
- Remplacer un fichier supprime le précédent",,Annuaire des finissants,High,3,annuaire,mvp,MVP
Epic,Sponsors et accréditations,"Paliers, quotas et espace sponsor. Les quotas sont la contrepartie commerciale de l'accès à l'annuaire.",Sponsors et accréditations,,High,,sponsor,,
Story,Gérer les paliers d'accréditation,"Les paliers sont configurables par le bureau : accès à l'annuaire, quotas, taille de logo, mise en avant.

Critères d'acceptation :
- Réservé au rôle ADMIN
- `ordre` détermine l'affichage et le prestige
- Un palier utilisé par un sponsor ne peut pas être supprimé sans réaffectation",,Sponsors et accréditations,High,3,sponsor,mvp,MVP
Story,Gérer les sponsors,"Gestion des entreprises partenaires et de leur rattachement à un palier.

Critères d'acceptation :
- Réservé au rôle ADMIN
- Rattachement optionnel à un compte utilisateur de rôle SPONSOR
- L'email est obligatoire et validé",,Sponsors et accréditations,High,5,sponsor,mvp,MVP
Story,Résoudre les quotas effectifs,"`quotasPersonnalises` est prioritaire sur les valeurs du palier lorsqu'il est défini. Cette règle doit être centralisée, et non dispersée dans les appelants.

Critères d'acceptation :
- Une valeur personnalisée prime sur celle du palier
- Une valeur absente retombe sur celle du palier
- Un sponsor sans palier ni quota n'a aucun droit
- La résolution est couverte par des tests, cas partiels inclus",,Sponsors et accréditations,Highest,5,sponsor,mvp,MVP
Story,Bloquer au dépassement de quota,"Faire respecter `maxConsultationsProfils` et `maxTelechargementsCv`.

Critères d'acceptation :
- Le dépassement renvoie une erreur métier explicite
- Les compteurs de `stats` sont fiables sous accès concurrents
- Le sponsor voit sa consommation restante",,Sponsors et accréditations,Highest,5,sponsor,mvp,MVP
Story,Réinitialiser les compteurs par période,"`StatistiquesSponsor` est décrit comme remis à zéro à chaque période de facturation, alors qu'aucune période n'est modélisée en base.

Critères d'acceptation :
- La période de facturation est modélisée
- La remise à zéro est automatique et idempotente
- L'historique des périodes écoulées est conservé",,Sponsors et accréditations,High,5,sponsor,v1,V1
Story,Publier la page des sponsors,"Vitrine respectant l'ordre des paliers, la taille de logo et la mise en avant.

Critères d'acceptation :
- Tri par `ordre` de palier
- `tailleLogo` et `isFeatured` sont exposés au frontend
- Chaque vue incrémente `vuesPage`",,Sponsors et accréditations,Medium,3,sponsor,mvp,MVP
Story,Ouvrir l'espace sponsor,"Le sponsor consulte sa consommation et ses statistiques.

Critères d'acceptation :
- Un sponsor ne voit que ses propres statistiques
- Affiche les quotas consommés et restants
- Réservé au rôle SPONSOR",,Sponsors et accréditations,Medium,5,sponsor,v1,V1
Story,Réserver les statistiques détaillées selon le palier,"`statsDetaillees` conditionne l'accès à une vue enrichie.

Critères d'acceptation :
- Les statistiques enrichies sont réservées aux paliers concernés
- Les autres paliers reçoivent la vue simple
- La règle est couverte par des tests",,Sponsors et accréditations,Low,3,sponsor,v2,V2
Story,Inviter un sponsor,"Créer le compte d'un sponsor et lui transmettre ses accès sans mot de passe en clair.

Critères d'acceptation :
- Invitation par email, avec un lien d'activation qui expire
- Le sponsor définit lui-même son mot de passe
- Le compte est créé avec le rôle SPONSOR et rattaché à la fiche",,Sponsors et accréditations,Medium,5,sponsor,v1,V1
Epic,Notifications et rappels,"Notifications in-app, rappels programmés et déclencheurs métier.",Notifications et rappels,,High,,notification,,
Story,Émettre des notifications in-app,"Service de création de notifications, appelé par les autres modules.

Critères d'acceptation :
- Création unitaire et diffusion groupée
- Les types suivent l'énumération `TypeNotification`
- `lien` pointe vers la ressource concernée",,Notifications et rappels,High,5,notification,mvp,MVP
Story,Consulter et marquer ses notifications,"Liste paginée, marquage lu et non lu.

Critères d'acceptation :
- Un utilisateur ne voit que ses propres notifications
- Marquage unitaire et marquage global
- Le nombre de notifications non lues est exposé",,Notifications et rappels,High,3,notification,mvp,MVP
Story,Programmer un rappel,"L'utilisateur choisit sa date et ses canaux avant un événement.

Critères d'acceptation :
- La date doit être future et antérieure à l'événement
- Les canaux PUSH et EMAIL sont sélectionnables
- Un rappel est modifiable et supprimable",,Notifications et rappels,Medium,5,notification,v1,V1
Story,Envoyer les rappels programmés,"Tâche planifiée traitant les rappels échus, avec `isSent` comme garde-fou.

Critères d'acceptation :
- Un rappel n'est jamais envoyé deux fois
- Un échec est réessayé sans créer de doublon
- L'annulation de l'événement annule les rappels associés",,Notifications et rappels,Medium,5,notification,v1,V1
Story,Acheminer les rappels par email,"Envoi des rappels via `MailService`.

Critères d'acceptation :
- Un template dédié existe
- Un échec est journalisé sans interrompre les autres envois
- Le contenu rappelle la date, le lieu et le billet",,Notifications et rappels,Medium,3,notification,v1,V1
Story,Implémenter les notifications push,"Le canal PUSH est prévu dans l'énumération mais n'a aucune implémentation.

Critères d'acceptation :
- Enregistrement et révocation des abonnements navigateur
- L'envoi Web Push fonctionne
- Dégradation propre si l'abonnement a expiré",,Notifications et rappels,Low,8,notification,v2,V2
Story,Gérer les préférences de notification,"Permettre à l'utilisateur de choisir ce qu'il reçoit.

Critères d'acceptation :
- Préférences par type et par canal
- Les préférences sont respectées à l'émission
- Les notifications critiques restent non désactivables",,Notifications et rappels,Low,5,notification,v2,V2
Story,Brancher les déclencheurs métier,"Relier les événements métier aux notifications : paiement confirmé, billet émis, commande prête, sondage ouvert, article publié.

Critères d'acceptation :
- Chaque déclencheur est branché et testé
- Un échec de notification n'interrompt jamais l'action métier
- Aucun doublon en cas de rejeu",,Notifications et rappels,High,5,notification,mvp,MVP
Epic,Fichiers et médias,"Stockage Cloudflare R2. La distinction entre public et privé y est structurante, les CV ne devant jamais être publics.",Fichiers et médias,,High,,file,,
Story,Envoyer un fichier vers R2,"Compléter `file.service.ts` avec la validation et l'envoi.

Critères d'acceptation :
- Les types MIME et la taille sont validés côté serveur
- Les noms de fichiers sont assainis, aucune traversée de chemin n'est possible
- Les erreurs de stockage sont explicites",,Fichiers et médias,High,5,file,mvp,MVP
Story,Servir les fichiers privés par URL signée,"Les CV et les factures ne doivent pas être accessibles par une URL devinable.

Critères d'acceptation :
- Les objets privés ne sont pas lisibles publiquement
- Les URL signées expirent, avec une durée configurable
- La génération d'URL vérifie les droits de l'appelant
- Des tests couvrent la tentative d'accès non autorisé",,Fichiers et médias,Highest,5,file,mvp,MVP
Story,Supprimer les fichiers et purger les orphelins,"Un profil ou un produit modifié laisse derrière lui des fichiers non référencés.

Critères d'acceptation :
- Supprimer une entité supprime ses fichiers
- Une tâche identifie et purge les orphelins
- La purge est journalisée et réversible pendant une période de grâce",,Fichiers et médias,Medium,3,file,v1,V1
Story,Traiter les images,"Réduire le poids des images de galerie et de catalogue.

Critères d'acceptation :
- Redimensionnement et conversion en WebP
- Génération de vignettes
- Traitement asynchrone, sans bloquer l'envoi",,Fichiers et médias,Low,5,file,v2,V2
Epic,Tableau de bord administrateur,Pilotage du bureau : journal d'activité et indicateurs.,Tableau de bord administrateur,,High,,admin,,
Story,Alimenter le journal d'activité,"`JournalActivite` est prévu pour alimenter le flux en direct du tableau de bord, mais rien ne l'écrit aujourd'hui.

Critères d'acceptation :
- Les événements métier écrivent dans le journal, selon `TypeActivite`
- L'écriture ne fait jamais échouer l'action métier
- `metadata` porte le contexte utile, en jsonb",,Tableau de bord administrateur,High,5,admin,mvp,MVP
Story,Exposer le flux d'activité,"Rendre le journal consultable depuis le tableau de bord.

Critères d'acceptation :
- Liste paginée, filtrable par type et par période
- Réservé au rôle ADMIN
- Tri chronologique inverse",,Tableau de bord administrateur,Medium,3,admin,v1,V1
Story,Calculer les indicateurs clés,"Chiffres de synthèse : revenus, inscriptions, utilisateurs, commandes.

Critères d'acceptation :
- Les indicateurs portent sur la génération active
- Comparaison avec la période précédente
- Requêtes indexées, temps de réponse maîtrisé",,Tableau de bord administrateur,High,5,admin,mvp,MVP
Story,Ventiler les revenus,"Répartition par origine, par méthode de paiement et par période.

Critères d'acceptation :
- Ventilation entre billetterie et boutique
- Ventilation entre Orange Money et MTN MoMo
- Série temporelle exploitable par le frontend",,Tableau de bord administrateur,Medium,5,admin,v1,V1
Story,Exporter les transactions,"Export destiné à la trésorerie du bureau.

Critères d'acceptation :
- Export CSV sur une période donnée
- Montants en FCFA, sans décimale
- L'export est journalisé",,Tableau de bord administrateur,Low,3,admin,v2,V2
Story,Définir la conservation du journal d'activité,"Le journal croît indéfiniment et finira par peser sur les performances.

Critères d'acceptation :
- La durée de conservation est définie et configurable
- Purge ou archivage automatique au-delà
- Les entrées à valeur comptable sont préservées",,Tableau de bord administrateur,Low,3,admin,v2,V2
Epic,"Qualité, sécurité et observabilité","Ce qui rend le backend livrable : documentation, tests, supervision et durcissement.","Qualité, sécurité et observabilité",,High,,qualite,,
Story,Documenter l'API dans OpenAPI,"Swagger est installé. Chaque endpoint doit être décrit pour que le frontend puisse s'y appuyer.

Critères d'acceptation :
- Tous les endpoints sont annotés, avec leurs schémas de requête et de réponse
- Les codes d'erreur sont documentés
- L'authentification est déclarée dans la spécification
- La spécification est publiée par la CI",,"Qualité, sécurité et observabilité",High,5,qualite,mvp,MVP
Story,Couvrir les services critiques par des tests unitaires,"Priorité aux règles dont une erreur coûte de l'argent ou expose des données : tarification, quotas, paiement, capacité.

Critères d'acceptation :
- Couverture d'au moins 80 % sur les services critiques
- Le seuil est vérifié par la CI
- Les cas limites et les erreurs sont testés, pas seulement le chemin nominal",,"Qualité, sécurité et observabilité",High,8,qualite,mvp,MVP
Story,Écrire les scénarios BDD des parcours critiques,"Cucumber est configuré. Les parcours à couvrir : inscription à un événement payant, paiement, scan du billet, commande en boutique, vote.

Critères d'acceptation :
- Un scénario par parcours critique
- Les scénarios s'exécutent en CI sur une base dédiée
- Les cas d'échec sont couverts, pas seulement les cas favorables",,"Qualité, sécurité et observabilité",High,8,qualite,mvp,MVP
Story,Tester les endpoints de bout en bout,"Tests end-to-end sur les endpoints publics et sur les règles d'accès.

Critères d'acceptation :
- Les endpoints publics répondent sans authentification
- Les endpoints protégés refusent un appel non authentifié
- Le cloisonnement par rôle est vérifié",,"Qualité, sécurité et observabilité",High,5,qualite,mvp,MVP
Story,Brancher Sentry,"Capture des erreurs en staging et en production.

Critères d'acceptation :
- Les erreurs non gérées sont remontées avec leur contexte
- Aucune donnée personnelle ni secret ne figure dans les rapports
- Les versions sont tracées, pour relier une erreur à un déploiement",,"Qualité, sécurité et observabilité",Medium,3,qualite,v1,V1
Story,Structurer les journaux et les corréler,"Pouvoir suivre une requête de bout en bout, notamment sur les parcours de paiement.

Critères d'acceptation :
- Journaux structurés en JSON
- Identifiant de corrélation propagé sur toute la requête
- Aucun secret ni mot de passe n'est journalisé",,"Qualité, sécurité et observabilité",Medium,5,qualite,v1,V1
Story,Enrichir le healthcheck,"Le healthcheck actuel ne vérifie aucune dépendance.

Critères d'acceptation :
- Vérifie la base de données, R2 et le SMTP
- Distingue la vivacité de la disponibilité
- Renvoie un code HTTP exploitable par l'hébergeur",,"Qualité, sécurité et observabilité",Medium,3,qualite,v1,V1
Story,Durcir la configuration HTTP,"helmet et la limitation de débit sont installés, mais leur réglage n'est pas arbitré.

Critères d'acceptation :
- CORS restreint aux origines du frontend, par environnement
- Limitation de débit globale active, avec des exceptions documentées
- Les en-têtes de sécurité sont vérifiés par un test",,"Qualité, sécurité et observabilité",High,3,qualite,mvp,MVP
Story,Automatiser le déploiement,"La CI valide sept contrôles mais ne déploie rien.

Critères d'acceptation :
- Déploiement automatique de `staging` après validation
- Déploiement en production sur validation manuelle
- Les migrations sont jouées avant le basculement
- La procédure de retour arrière est documentée",,"Qualité, sécurité et observabilité",Medium,5,qualite,v1,V1
